"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6820","should be able to login correctly","chromium","Fri Mar 13 20:07:37 UTC 2026","passed","Fri Mar 13 20:07:44 UTC 2026","Login tests","ui/login.spec.ts","",""
"","301","should be able to create a task via API correctly for today","chromium","Fri Mar 13 20:07:35 UTC 2026","failed","Fri Mar 13 20:07:36 UTC 2026","API - Create Task","api/create.spec.ts","",""
"","7661","should be able to add a comment to a task","chromium","Fri Mar 13 20:08:15 UTC 2026","passed","Fri Mar 13 20:08:23 UTC 2026","Task details modal management","ui/tasks.spec.ts","",""
"","6567","should be able to create a task correctly","chromium","Fri Mar 13 20:08:30 UTC 2026","passed","Fri Mar 13 20:08:37 UTC 2026","Task Management","ui/today.spec.ts","",""
"","7157","should be able to delete a comment from a task","chromium","Fri Mar 13 20:08:23 UTC 2026","passed","Fri Mar 13 20:08:30 UTC 2026","Task details modal management","ui/tasks.spec.ts","",""
"","6727","TC04 - Delete task successfully","chromium","Fri Mar 13 20:08:37 UTC 2026","passed","Fri Mar 13 20:08:43 UTC 2026","Task Management","ui/today.spec.ts","",""
"","5172","Should dismiss add task modal","chromium","Fri Mar 13 20:08:43 UTC 2026","passed","Fri Mar 13 20:08:48 UTC 2026","Page Functionality","ui/today.spec.ts","",""
"","6339","should display the correct error message for invalid credentials","chromium","Fri Mar 13 20:08:00 UTC 2026","failed","Fri Mar 13 20:08:07 UTC 2026","Login tests","ui/login.spec.ts","",""
"","7184","TC03 - Create task successfully from sidebar","chromium","Fri Mar 13 20:08:08 UTC 2026","passed","Fri Mar 13 20:08:15 UTC 2026","Sidebar tests","ui/sidebar.spec.ts","",""
