"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","978","should be able to create a task via API correctly for today","chromium","Thu Mar 12 23:39:42 UTC 2026","passed","Thu Mar 12 23:39:42 UTC 2026","API - Create Task","api/create.spec.ts","",""
"","1739","should display the correct error message for invalid credentials","chromium","Thu Mar 12 23:39:49 UTC 2026","passed","Thu Mar 12 23:39:51 UTC 2026","Login tests","ui/login.spec.ts","",""
"","1","TC03 - Create task successfully from sidebar","chromium","Thu Mar 12 23:39:51 UTC 2026","skipped","Thu Mar 12 23:39:51 UTC 2026","Sidebar tests","ui/sidebar.spec.ts","",""
"","6361","TC05 - Edit task successfully","chromium","Thu Mar 12 23:40:04 UTC 2026","passed","Thu Mar 12 23:40:10 UTC 2026","Task Management","ui/today.spec.ts","",""
"","4928","should be able to login correctly","chromium","Thu Mar 12 23:39:44 UTC 2026","passed","Thu Mar 12 23:39:49 UTC 2026","Login tests","ui/login.spec.ts","",""
"","7037","TC04 - Delete task successfully","chromium","Thu Mar 12 23:39:57 UTC 2026","passed","Thu Mar 12 23:40:04 UTC 2026","Task Management","ui/today.spec.ts","",""
"","5082","Should dismiss add task modal","chromium","Thu Mar 12 23:41:13 UTC 2026","passed","Thu Mar 12 23:41:18 UTC 2026","Page Functionality","ui/today.spec.ts","",""
"","6082","should be able to create a task correctly","chromium","Thu Mar 12 23:39:51 UTC 2026","passed","Thu Mar 12 23:39:57 UTC 2026","Task Management","ui/today.spec.ts","",""
